Symbol,Company Name
ESCORTS,Escorts Kubota Ltd.
ETERNAL,Eternal Ltd.
EXIDEIND,Exide Industries Ltd.
NYKAA,FSN E-Commerce Ventures Ltd.
FEDERALBNK,Federal Bank Ltd.
GAIL,GAIL (India) Ltd.
GMRAIRPORT,GMR Airports Ltd.
GLENMARK,Glenmark Pharmaceuticals Ltd.
GODREJCP,Godrej Consumer Products Ltd.
GODREJPROP,Godrej Properties Ltd.
GRASIM,Grasim Industries Ltd.
HCLTECH,HCL Technologies Ltd.
HDFCAMC,HDFC Asset Management Company Ltd.
HDFCBANK,HDFC Bank Ltd.
HDFCLIFE,HDFC Life Insurance Company Ltd.
HAVELLS,Havells India Ltd.
HEROMOTOCO,Hero MotoCorp Ltd.
HINDALCO,Hindalco Industries Ltd.
HAL,Hindustan Aeronautics Ltd.
HINDPETRO,Hindustan Petroleum Corporation Ltd.
HINDUNILVR,Hindustan Unilever Ltd.
HINDZINC,Hindustan Zinc Ltd.
HUDCO,Housing & Urban Development Corporation Ltd.
HYUNDAI,Hyundai Motor India Ltd.
ICICIBANK,ICICI Bank Ltd.
ICICIGI,ICICI Lombard General Insurance Company Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.
IDFCFIRSTB,IDFC First Bank Ltd.
IRB,IRB Infrastructure Developers Ltd.
ITC,ITC Ltd.
INDIANB,Indian Bank
INDHOTEL,Indian Hotels Co. Ltd.
IOC,Indian Oil Corporation Ltd.
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.
IRFC,Indian Railway Finance Corporation Ltd.
IREDA,Indian Renewable Energy Development Agency Ltd.
IGL,Indraprastha Gas Ltd.
INDUSTOWER,Indus Towers Ltd.
INDUSINDBK,IndusInd Bank Ltd.
NAUKRI,Info Edge (India) Ltd.
INFY,Infosys Ltd.
INDIGO,InterGlobe Aviation Ltd.
JSWENERGY,JSW Energy Ltd.
JSWSTEEL,JSW Steel Ltd.
JINDALSTEL,Jindal Steel Ltd.
JIOFIN,Jio Financial Services Ltd.
JUBLFOOD,Jubilant Foodworks Ltd.
KPITTECH,KPIT Technologies Ltd.
KALYANKJIL,Kalyan Jewellers India Ltd.
KOTAKBANK,Kotak Mahindra Bank Ltd.
LTF,L&T Finance Ltd.
LICHSGFIN,LIC Housing Finance Ltd.
LTIM,LTIMindtree Ltd.
LT,Larsen & Toubro Ltd.
LICI,Life Insurance Corporation of India
LODHA,Lodha Developers Ltd.
LUPIN,Lupin Ltd.
MRF,MRF Ltd.
M&MFIN,Mahindra & Mahindra Financial Services Ltd.
M&M,Mahindra & Mahindra Ltd.
MANKIND,Mankind Pharma Ltd.
MARICO,Marico Ltd.
MARUTI,Maruti Suzuki India Ltd.
MFSL,Max Financial Services Ltd.
MAXHEALTH,Max Healthcare Institute Ltd.
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.
MOTILALOFS,Motilal Oswal Financial Services Ltd.
MPHASIS,MphasiS Ltd.
MUTHOOTFIN,Muthoot Finance Ltd.
NHPC,NHPC Ltd.
NMDC,NMDC Ltd.
NTPCGREEN,NTPC Green Energy Ltd.
NTPC,NTPC Ltd.
NATIONALUM,National Aluminium Co. Ltd.
NESTLEIND,Nestle India Ltd.
OBEROIRLTY,Oberoi Realty Ltd.
ONGC,Oil & Natural Gas Corporation Ltd.
OIL,Oil India Ltd.
OLAELEC,Ola Electric Mobility Ltd.
PAYTM,One 97 Communications Ltd.
OFSS,Oracle Financial Services Software Ltd.
POLICYBZR,PB Fintech Ltd.
PIIND,PI Industries Ltd.
PAGEIND,Page Industries Ltd.
PATANJALI,Patanjali Foods Ltd.
PERSISTENT,Persistent Systems Ltd.
PETRONET,Petronet LNG Ltd.
PHOENIXLTD,Phoenix Mills Ltd.
PIDILITIND,Pidilite Industries Ltd.
POLYCAB,Polycab India Ltd.
PFC,Power Finance Corporation Ltd.
POWERGRID,Power Grid Corporation of India Ltd.
PREMIERENE,Premier Energies Ltd.
PRESTIGE,Prestige Estates Projects Ltd.
PNB,Punjab National Bank
RECLTD,REC Ltd.
RVNL,Rail Vikas Nigam Ltd.
RELIANCE,Reliance Industries Ltd.
SBICARD,SBI Cards and Payment Services Ltd.
SBILIFE,SBI Life Insurance Company Ltd.
SJVN,SJVN Ltd.
SRF,SRF Ltd.
MOTHERSON,Samvardhana Motherson International Ltd.
SHREECEM,Shree Cement Ltd.
SHRIRAMFIN,Shriram Finance Ltd.
SIEMENS,Siemens Ltd.
SOLARINDS,Solar Industries India Ltd.
SONACOMS,Sona BLW Precision Forgings Ltd.
SBIN,State Bank of India
SAIL,Steel Authority of India Ltd.
SUNPHARMA,Sun Pharmaceutical Industries Ltd.
SUPREMEIND,Supreme Industries Ltd.
SUZLON,Suzlon Energy Ltd.
SWIGGY,Swiggy Ltd.
TVSMOTOR,TVS Motor Company Ltd.
TATACOMM,Tata Communications Ltd.
TCS,Tata Consultancy Services Ltd.
TATACONSUM,Tata Consumer Products Ltd.
TATAELXSI,Tata Elxsi Ltd.
TATAMOTORS,Tata Motors Ltd.
TATAPOWER,Tata Power Co. Ltd.
TATASTEEL,Tata Steel Ltd.
TATATECH,Tata Technologies Ltd.
TECHM,Tech Mahindra Ltd.
TITAN,Titan Company Ltd.
TORNTPHARM,Torrent Pharmaceuticals Ltd.
TORNTPOWER,Torrent Power Ltd.
TRENT,Trent Ltd.
TIINDIA,Tube Investments of India Ltd.
UPL,UPL Ltd.
ULTRACEMCO,UltraTech Cement Ltd.
UNIONBANK,Union Bank of India
UNITDSPR,United Spirits Ltd.
VBL,Varun Beverages Ltd.
VEDL,Vedanta Ltd.
VMM,Vishal Mega Mart Ltd.
IDEA,Vodafone Idea Ltd.
VOLTAS,Voltas Ltd.
WAAREEENER,Waaree Energies Ltd.
WIPRO,Wipro Ltd.
YESBANK,Yes Bank Ltd.
ZYDUSLIFE,Zydus Lifesciences Ltd.
